Gemeente,Kerkbezoek. minimaal 1x per maand (percentage van gehele 18+ populatie),Geen kerkelijke gezindte,Rooms-katholiek,Protestants,Islam,Joods,Hindoe,Boeddhist,anders,
Westervoort,13.2,52.7,25.1,14.1,1.1,0.0,0.2,0.0,6.7,
Winterswijk,14.3,46.7,17.2,26.9,3.2,0.0,0.5,0.2,5.4,
Wijchen,9.8,37.3,52.0,5.3,1.9,0.0,0.4,0.0,3.0,
Zaltbommel,27.9,32.1,14.8,44.7,4.7,0.0,0.0,0.1,3.6,
Zevenaar,9.2,46.8,40.1,7.0,1.5,0.0,0.1,0.4,4.1,
Zutphen,13.3,61.8,12.8,15.8,4.6,0.0,0.0,0.5,4.5,
Nunspeet,57.2,23.0,5.2,58.0,1.4,0.0,0.0,0.2,12.3,
Dronten,22.3,51.0,13.3,24.7,3.9,0.1,0.1,0.3,6.7,
Neerijnen,25.3,36.0,12.1,44.6,1.3,0.0,0.3,0.0,5.8,
Amersfoort,18.6,53.7,15.0,17.6,5.7,0.1,0.3,0.5,7.2,
Baarn,17.1,54.5,18.2,18.5,2.9,0.0,0.0,0.5,5.4,
De Bilt,20.8,55.8,13.8,21.8,1.8,0.0,0.1,0.7,6.1,
Bunnik,23.4,40.5,34.2,17.4,1.2,0.6,0.0,0.4,5.8,
Bunschoten,66.2,15.3,7.0,71.2,1.5,0.3,0.0,0.2,4.5,
Eemnes,13.3,56.7,28.7,12.0,1.5,0.0,0.0,0.0,1.2,
Houten,18.4,50.8,20.9,19.7,4.0,0.3,0.1,0.4,3.8,
Leusden,20.0,50.3,22.6,21.1,0.6,0.4,0.0,0.1,5.0,
Lopik,26.4,31.9,25.9,38.8,0.5,0.4,0.4,0.0,2.1,
Montfoort,21.0,38.6,33.9,22.5,3.2,0.0,0.0,0.0,1.7,
Renswoude,54.6,18.2,1.7,67.1,0.0,0.0,0.0,0.0,13.0,
Rhenen,21.1,49.6,8.7,34.6,1.7,0.0,0.0,0.2,5.3,
Soest,16.1,57.0,16.8,14.7,7.4,0.3,0.5,0.2,3.3,
Utrecht,13.0,61.0,12.3,10.5,9.9,0.2,0.6,0.5,4.9,
Veenendaal,34.9,33.4,7.1,41.8,8.3,0.2,0.1,0.4,8.9,
Woudenberg,46.3,32.7,7.7,47.6,1.6,0.0,0.2,0.3,9.9,
Wijk bij Duurstede,12.6,51.2,24.8,18.4,2.6,0.0,0.2,0.4,2.5,
IJsselstein,9.8,54.1,22.6,12.4,6.4,0.5,1.0,0.0,3.0,
Zeist,15.4,54.5,12.6,19.9,5.7,0.0,0.5,0.1,6.8,
Nieuwegein,14.3,49.3,23.6,14.1,5.3,0.1,1.4,0.5,5.8,
Aalsmeer,19.0,57.8,17.6,18.2,2.4,0.0,0.3,0.2,3.4,
Alkmaar,9.5,62.0,21.2,7.2,4.0,0.2,0.1,1.0,4.2,
Amstelveen,15.1,56.2,21.0,10.4,2.3,2.9,1.0,0.4,5.8,
Amsterdam,12.0,62.2,11.2,5.9,12.1,0.7,1.1,1.0,5.9,
Beemster,2.9,73.5,19.6,4.7,0.7,0.0,0.0,1.5,0.0,
Bergen (NH.),8.1,63.6,22.5,7.7,0.5,0.0,0.0,0.4,5.2,
Beverwijk,9.0,62.3,21.6,5.4,6.4,0.0,0.7,0.5,3.1,
Blaricum,11.4,52.5,29.9,12.5,2.0,0.0,0.0,0.6,2.5,
Bloemendaal,12.3,57.9,24.4,14.3,0.2,0.1,0.0,0.0,3.1,
Castricum,7.0,59.8,29.0,5.7,1.0,0.1,0.5,0.5,3.4,
Diemen,12.6,65.2,11.4,7.4,5.8,0.6,1.5,0.4,7.8,
Edam-Volendam,17.3,36.3,52.7,7.3,1.1,0.4,0.0,0.3,1.9,
Enkhuizen,13.2,60.9,14.6,15.4,3.0,0.2,0.0,0.2,5.8,
Haarlem,9.3,63.3,15.2,8.4,7.6,0.3,0.3,0.7,4.3,
Haarlemmerliede en Spaarnwoude,9.9,60.3,35.0,2.0,2.4,0.0,0.0,0.0,0.3,
Haarlemmermeer,12.0,58.4,17.5,12.8,4.4,0.3,0.9,0.4,5.3,
Heemskerk,11.0,55.6,27.6,8.6,4.1,0.1,0.4,0.5,3.0,
Heemstede,10.3,59.5,24.0,8.2,2.2,1.4,0.0,0.3,4.4,
Heerhugowaard,12.4,57.8,25.4,8.1,4.7,0.0,0.2,0.6,3.3,
Heiloo,12.2,59.7,27.2,11.3,0.5,0.0,0.0,0.3,1.1,
Den Helder,11.5,64.6,14.7,11.9,2.3,0.1,0.6,0.5,5.4,
Hilversum,13.3,62.2,14.8,9.9,6.4,0.1,0.5,0.5,5.6,
Hoorn,10.5,61.9,18.6,6.6,4.9,0.1,0.6,1.3,6.1,
Huizen,19.2,58.5,10.0,22.0,4.1,0.1,0.1,0.1,5.2,
Landsmeer,7.5,76.8,7.2,11.2,1.9,0.0,0.0,0.8,2.1,
Langedijk,10.5,56.1,26.8,13.9,0.8,0.0,0.0,0.2,2.3,
Laren,7.2,64.9,20.8,10.1,0.0,0.0,0.0,0.0,4.2,
Medemblik,16.1,51.1,35.3,8.4,1.5,0.1,0.0,0.0,3.6,
Oostzaan,7.5,77.7,6.8,7.4,1.9,0.7,0.0,0.4,5.1,
Opmeer,13.7,34.3,57.7,5.1,1.9,0.0,0.0,0.0,1.0,
Ouder-Amstel,12.2,57.3,22.8,13.3,4.2,0.0,1.1,0.0,1.3,
Purmerend,7.1,71.3,15.1,5.3,2.6,0.3,0.4,0.6,4.4,
Schagen,8.3,59.0,29.4,7.1,0.9,0.0,0.0,0.2,3.4,
Texel,12.3,61.2,12.0,19.6,0.8,0.6,0.0,0.4,5.5,
Uitgeest,9.3,61.7,24.8,7.6,1.0,0.0,0.0,0.0,4.8,
Uithoorn,7.8,65.2,20.1,8.6,2.9,0.0,0.7,0.3,2.2,
Velsen,10.1,66.6,14.7,10.8,3.0,0.4,0.0,0.3,4.2,
Weesp,11.1,64.9,12.9,13.9,5.5,0.2,0.0,0.2,2.4,
Zandvoort,6.2,65.5,21.2,9.0,2.5,0.4,0.0,0.7,0.8,
Zaanstad,14.0,63.1,13.1,8.2,9.3,0.3,0.7,0.6,4.6,
Alblasserdam,38.4,48.2,3.0,39.7,3.0,0.0,0.3,0.0,5.8,
Alphen aan den Rijn,19.4,48.2,18.2,23.8,3.8,0.1,0.5,0.7,4.7,
Barendrecht,18.3,53.0,10.1,29.1,3.6,0.0,0.2,0.2,3.7,
Drechterland,8.2,52.1,39.1,6.6,0.0,0.0,0.2,0.5,1.6,
Brielle,6.6,71.9,7.0,16.3,1.2,0.2,0.7,0.6,2.2,
Capelle aan den IJssel,14.2,60.2,9.4,17.8,4.6,0.1,2.0,0.5,5.4,
Delft,10.8,61.7,18.1,11.5,4.0,0.2,1.0,0.1,3.4,
Dordrecht,18.4,56.8,10.1,15.8,9.7,0.0,0.5,0.2,6.8,
Gorinchem,24.4,49.2,7.4,22.8,10.9,0.0,0.8,0.5,8.4,
Gouda,21.2,52.4,11.4,20.1,10.2,0.5,0.3,0.4,4.7,
's-Gravenhage,16.1,49.6,14.9,9.4,14.7,0.2,4.8,0.8,5.7,
Hardinxveld-Giessendam,54.3,31.1,2.4,57.4,0.4,0.1,0.0,0.0,8.6,
Hellevoetsluis,9.1,72.2,8.6,12.4,3.1,0.0,0.1,0.3,3.4,
Hendrik-Ido-Ambacht,35.3,41.5,6.3,40.3,2.2,0.0,0.4,0.4,8.9,
Stede Broec,7.4,58.8,30.0,5.0,0.9,0.0,0.5,0.2,4.5,
Hillegom,12.4,44.8,37.0,12.9,1.8,0.1,0.0,0.2,3.1,
Katwijk,37.7,28.1,4.3,59.5,1.7,0.0,0.2,0.0,6.2,
Krimpen aan den IJssel,32.5,46.1,8.5,35.1,1.6,0.4,0.0,0.0,8.4,
Leerdam,36.6,36.1,6.1,33.7,18.6,0.1,0.0,0.5,5.1,
Leiden,11.1,62.8,13.5,11.3,5.9,0.2,0.8,0.5,5.0,
Leiderdorp,17.3,50.4,15.2,21.8,5.7,0.1,0.3,0.4,6.1,
Lisse,23.5,39.2,37.0,18.4,0.3,0.1,0.0,0.1,5.1,
Maassluis,19.4,44.0,11.8,27.3,12.1,0.0,0.4,0.2,4.2,
Nieuwkoop,22.9,34.4,45.9,12.2,3.1,0.0,0.0,0.1,4.4,
Noordwijk,11.9,48.0,30.4,15.4,2.9,0.0,0.0,0.0,3.3,
Noordwijkerhout,15.6,38.9,45.1,11.7,0.9,1.1,0.0,0.0,2.4,
Oegstgeest,12.2,54.8,18.7,20.2,1.3,0.2,0.2,0.5,4.1,
Oud-Beijerland,23.2,53.3,6.8,32.3,1.1,0.6,0.7,0.1,5.1,
Binnenmaas,16.5,54.7,5.7,34.2,0.1,0.0,0.0,0.0,5.4,
Korendijk,33.5,46.3,5.0,41.3,0.0,0.0,0.0,0.0,7.4,
Oudewater,28.4,31.7,38.1,25.1,0.3,0.0,0.3,0.0,4.5,
Papendrecht,20.4,56.4,8.8,26.3,3.8,0.1,0.3,0.0,4.3,
Ridderkerk,23.2,54.5,4.7,32.8,2.7,0.0,0.1,0.5,4.7,
Rotterdam,18.0,50.0,14.9,10.8,13.7,0.1,2.9,0.5,7.0,
Rijswijk,11.6,52.8,18.8,12.1,5.5,0.2,2.4,0.8,7.5,
Schiedam,14.3,54.8,14.3,12.2,12.4,0.1,0.9,0.6,4.8,
Sliedrecht,40.7,38.0,3.4,45.5,4.9,0.0,0.2,0.2,7.7,
Cromstrijen,23.0,49.5,6.5,39.4,0.2,0.0,0.0,0.1,4.3,
Albrandswaard,11.9,55.6,11.7,24.4,2.2,0.0,2.2,0.3,3.7,
Westvoorne,6.3,67.2,10.2,20.2,0.2,0.0,0.0,0.2,2.1,
Strijen,17.8,56.3,5.1,36.5,0.2,0.0,0.0,0.0,1.8,
Vianen,10.8,47.4,22.3,22.8,4.0,0.0,0.2,0.0,3.4,
Vlaardingen,15.4,55.1,12.8,15.8,10.4,0.1,0.7,0.3,4.8,
Voorschoten,9.5,58.6,23.7,12.6,1.4,0.3,0.3,0.0,3.0,
Waddinxveen,30.7,43.5,13.6,35.1,3.7,0.0,0.6,0.0,3.5,
Wassenaar,12.6,50.2,28.2,16.7,1.6,0.1,0.0,0.2,3.0,
Woerden,24.1,42.7,22.8,27.5,2.0,0.1,0.8,0.1,4.0,
Zoetermeer,13.2,54.7,18.1,13.6,4.6,0.1,3.4,0.5,5.0,
Zoeterwoude,14.9,35.5,51.8,6.6,0.4,0.0,0.0,1.7,4.0,
Zwijndrecht,18.9,53.2,8.8,26.8,5.3,0.0,0.1,0.1,5.8,
Borsele,27.4,33.7,27.2,33.9,0.0,0.0,0.0,0.5,4.7,
Goes,19.5,48.6,13.6,30.1,1.9,0.0,0.4,0.4,5.2,
West Maas en Waal,13.8,26.8,67.9,4.4,0.3,0.0,0.0,0.0,0.6,
Hulst,15.6,36.3,55.2,3.9,1.8,0.0,0.0,0.7,2.2,
Kapelle,30.0,38.9,13.1,40.1,2.6,0.0,0.0,0.0,5.3,
Middelburg,27.5,50.6,8.2,32.9,1.4,0.1,0.0,0.3,6.5,
Giessenlanden,37.2,33.5,7.3,51.5,1.9,0.0,0.0,0.0,5.8,
Reimerswaal,49.6,25.9,8.9,57.0,0.8,0.0,0.0,0.0,7.3,
Zederik,41.8,29.2,8.1,59.0,0.0,0.0,0.0,0.0,3.7,
Terneuzen,17.0,49.0,25.1,18.0,4.3,0.1,0.1,0.1,3.3,
Tholen,42.3,34.4,6.1,48.9,0.8,0.0,0.0,0.3,9.4,
Veere,37.1,38.9,5.1,47.0,0.0,0.0,0.0,0.6,8.4,
Vlissingen,16.0,58.3,13.3,17.7,1.7,0.0,0.2,0.5,8.3,
Lingewaal,29.4,47.3,4.7,41.4,3.3,0.0,0.0,1.5,1.8,
De Ronde Venen,17.4,49.2,25.7,18.1,3.2,0.2,0.0,0.4,3.2,
Tytsjerksteradiel,26.2,47.9,4.0,42.0,0.8,0.0,0.2,0.0,5.2,
Aalburg,48.6,18.1,9.2,67.2,0.3,0.0,0.6,0.5,4.1,
Asten,16.4,24.6,72.8,1.7,0.5,0.0,0.0,0.1,0.4,
Baarle-Nassau,9.8,31.2,63.1,3.2,0.0,0.0,0.0,0.0,2.5,
Bergen op Zoom,13.3,34.1,45.8,4.3,13.0,0.0,0.2,0.6,2.1,
Best,15.7,32.6,52.7,6.9,4.5,0.0,0.0,0.9,2.5,
Boekel,15.4,24.4,73.8,1.1,0.0,0.0,0.0,0.0,0.7,
Boxmeer,14.1,27.7,64.3,3.4,1.6,0.0,1.0,0.2,1.8,
Boxtel,10.6,31.9,61.8,2.4,2.1,0.0,0.0,0.2,1.6,
Breda,11.1,45.3,41.4,5.8,3.9,0.0,0.5,0.5,2.6,
Deurne,15.3,25.9,70.9,1.7,0.9,0.0,0.0,0.1,0.6,
Pekela,7.3,79.7,5.4,12.1,0.2,0.0,0.7,0.0,2.0,
Dongen,15.7,28.7,56.1,7.5,5.6,0.0,0.2,0.1,2.0,
Eersel,14.6,24.5,70.1,4.2,0.4,0.0,0.0,0.2,0.7,
Eindhoven,10.3,46.2,35.7,4.9,8.0,0.0,0.8,0.5,3.8,
Etten-Leur,11.0,38.3,51.1,3.7,4.6,0.1,0.0,0.4,1.8,
Geertruidenberg,8.1,40.5,47.1,9.4,0.6,0.0,0.2,0.7,1.5,
Gilze en Rijen,18.4,30.8,60.0,6.0,2.6,0.0,0.0,0.1,0.5,
Goirle,8.6,35.5,58.8,1.7,2.1,0.0,0.0,0.4,1.5,
Grave,12.2,33.8,60.9,4.9,0.0,0.0,0.0,0.2,0.3,
Haaren,15.5,26.6,68.8,1.1,1.8,0.0,0.0,0.9,0.8,
Helmond,11.4,30.6,53.0,2.8,10.5,0.0,0.5,0.5,2.1,
's-Hertogenbosch,10.9,42.5,45.8,3.8,5.2,0.0,0.3,0.5,1.9,
Heusden,14.2,35.3,54.4,5.4,2.9,0.0,0.2,0.4,1.3,
Hilvarenbeek,12.0,27.5,69.1,2.0,0.6,0.0,0.3,0.6,0.0,
Loon op Zand,11.2,32.7,57.8,5.2,2.2,0.1,0.0,0.2,1.7,
Mill en Sint Hubert,17.0,29.6,69.3,0.9,0.0,0.0,0.0,0.0,0.2,
Nuenen. Gerwen en Nederwetten,10.8,44.4,46.3,6.2,0.8,0.0,0.0,0.3,2.0,
Oirschot,12.7,20.5,73.0,3.5,0.3,0.0,0.0,0.0,2.7,
Oisterwijk,10.0,36.9,55.5,2.7,0.9,0.0,0.0,0.1,4.0,
Oosterhout,13.9,37.0,45.7,6.8,5.8,0.0,0.5,0.2,4.2,
Oss,11.8,31.0,58.7,3.1,4.8,0.0,0.3,0.3,1.9,
Rucphen,11.1,18.8,77.8,1.5,0.5,0.0,0.3,0.2,0.8,
Schijndel,7.8,26.5,69.9,1.8,0.8,0.0,0.6,0.4,0.0,
Sint-Michielsgestel,13.1,29.0,66.5,2.4,0.8,0.0,0.0,0.6,0.7,
Sint-Oedenrode,15.7,25.1,69.6,1.3,2.2,0.0,0.0,0.0,1.8,
Someren,14.8,15.6,80.0,3.1,0.6,0.0,0.0,0.0,0.9,
Son en Breugel,11.5,37.1,54.1,7.1,0.9,0.0,0.0,0.1,0.8,
Steenbergen,12.9,36.5,48.6,12.3,1.0,0.0,0.5,0.2,1.1,
Waterland,16.7,56.9,9.5,29.8,0.2,0.0,0.0,0.8,3.0,
Tilburg,11.2,40.4,46.3,2.8,6.8,0.0,0.3,0.5,2.9,
Uden,12.3,36.4,56.4,3.5,1.6,0.0,0.3,0.2,1.6,
Valkenswaard,9.7,32.2,62.5,3.4,0.4,0.1,0.2,0.2,1.1,
Veghel,16.9,30.4,60.0,2.5,5.3,0.0,0.3,0.1,1.5,
Veldhoven,10.4,40.8,48.3,6.5,1.3,0.0,0.3,0.1,2.7,
Vught,10.4,39.3,50.9,7.6,0.8,0.0,0.0,0.2,1.3,
Waalre,8.6,49.3,40.4,4.4,0.5,0.0,0.1,0.0,5.4,
Waalwijk,17.9,32.9,44.2,14.7,4.6,0.0,0.8,0.2,2.6,
Werkendam,29.9,30.7,13.0,44.2,1.5,0.0,0.0,0.0,10.7,
Woensdrecht,9.1,31.8,59.1,4.5,2.1,0.1,0.0,0.3,2.1,
Woudrichem,39.4,36.1,7.0,51.3,0.0,0.0,0.0,0.5,5.1,
Zundert,11.7,23.8,72.9,2.4,0.3,0.0,0.0,0.4,0.3,
